Class,Legality,Type,Name,Price,Encumbrance,Hardpoints Required,Rarity,Index
Attachments,Restricted,Vehicle Utility,HoloNet Pirate Array,25000,-,2,8,DA:65
Attachments,Nonrestricted,Vehicle Utility,Environmental Simulators,75000,-,2,6,DA:64
Attachments,Restricted,Vehicle Weapon Attachment,Sienar MM-XT Mini-Missile Tube,700,-,1,4,DC:60
Attachments,Nonrestricted,Vehicle Weapon Attachment,"Ax-108 ""Ground Buzzer"" Surface-Defense Blaster Cannon",2000,-,1,5,FC:62
Attachments,Restricted,Vehicle Weapon Attachment,Oversized External Weapons Mount,3000,-,2,6,DC:60
Attachments,Nonrestricted,Vehicle Weapon Attachment,Gravity Mine Launcher,3500,-,1,6,SoT:64
Attachments,Nonrestricted,Vehicle Weapon Attachment,Ram Attachment,6500,-,2,3,SoT:65
Attachments,Restricted,Vehicle Weapon Attachment,Arakyd Mini-Missile Pack,7000,-,1,5,DC:60
Attachments,Restricted,Vehicle Weapon Attachment,Arakyd Missile Pack,10000,-,1,5,DC:60
Attachments,Nonrestricted,Weapon Attachment,Filed Front Sight,25,0,1,0,Aor-CRB: 201 // EotEotE-CRB: 190
Attachments,Nonrestricted,Weapon Attachment,Serrated Edge,50,0,1,1,Aor-CRB: 203 // EotEotE-CRB: 191 // FaD-CRB: 194
Attachments,Nonrestricted,Weapon Attachment,Bipod Mount,100,0,1,1,Aor-CRB: 200 // EotEotE-CRB: 188 // FaD-CRB: 192
Attachments,Nonrestricted,Weapon Attachment,Optimized Energy Cell,100,0,1,5,SM: 54
Attachments,Nonrestricted,Weapon Attachment,Weapon Sling,100,0,1,0,Aor-CRB: 205 // EotEotE-CRB: 193 // FaD-CRB: 195
Attachments,Nonrestricted,Weapon Attachment,Integrated Illuminator,200,1,1,4,KtP: 54
Attachments,Nonrestricted,Weapon Attachment,Bowcaster Accelerator Enhancement,250,0,1,4,EotEotE-CRB: 189
Attachments,Nonrestricted,Weapon Attachment,Forearm Grip,250,0,1,1,Aor-CRB: 201 // EotEotE-CRB: 190
Attachments,Nonrestricted,Weapon Attachment,Magnetic Weapon Tether,250,0,1,2,KtP: 54
Attachments,Restricted,Weapon Attachment,Removed Safety Features,250,0,0,2,SM: 55
Attachments,Nonrestricted,Weapon Attachment,Shortened Barrel,250,0,1,4,Aor-CRB: 203 // EotEotE-CRB: 191
Attachments,Nonrestricted,Weapon Attachment,Stripped Down,250,-1,3,4,SM: 56
Attachments,Nonrestricted,Weapon Attachment,Telescopic Optical Sight,250,0,1,1,Aor-CRB: 203 // EotEotE-CRB: 192 // FaD-CRB: 195
Attachments,Nonrestricted,Weapon Attachment,Tripod Mount,250,0,2,3,Aor-CRB: 204 // EotEotE-CRB: 193 // FaD-CRB: 195
Attachments,Nonrestricted,Weapon Attachment,Weighted Head,250,0,2,3,Aor-CRB: 205 // EotEotE-CRB: 193 // FaD-CRB: 195
Attachments,Nonrestricted,Weapon Attachment,Corellian Arms Model 2 Wrist Mount,275,0,2,5,DC: 52
Attachments,Nonrestricted,Weapon Attachment,Paired Weapons,300,0,1,3,FC: 51
Attachments,Nonrestricted,Weapon Attachment,Vibro-Bayonet,300,1,1,3,SM: 56
Attachments,Nonrestricted,Weapon Attachment,Czerka H9 Pistol Grip,400,0,1,3,DC: 52
Attachments,Restricted,Weapon Attachment,Poison Reservoir,400,0,1,5,LoNH: 105
Attachments,Nonrestricted,Weapon Attachment,Secondary Ion Blaster,400,2,2,6,SM: 56
Attachments,Nonrestricted,Weapon Attachment,Set Trigger,450,0,1,4,FC: 51
Attachments,Nonrestricted,Weapon Attachment,Arakyd 900 Gene-Lock,500,0,1,7,DC: 51
Attachments,Nonrestricted,Weapon Attachment,Blaster Actuating Module,500,0,1,4,Aor-CRB: 200 // EotEotE-CRB: 188
Attachments,Nonrestricted,Weapon Attachment,Bowcaster Automatic Re-Cocker,500,0,1,3,EotEotE-CRB: 189
Attachments,Nonrestricted,Weapon Attachment,Custom Grip,500,0,1,6,SM: 54
Attachments,Nonrestricted,Weapon Attachment,Electronic Sighting System,500,0,1,4,SoR: 110
Attachments,Nonrestricted,Weapon Attachment,Energy Overclock Setting,500,0,3,5,KtP: 53
Attachments,Nonrestricted,Weapon Attachment,Night Vision Scope,500,0,1,3,FaD-CRB: 194
Attachments,Nonrestricted,Weapon Attachment,"Sorosuub ""Bantha's Eye"" Laser Sight",500,0,1,5,DC: 52
Attachments,Nonrestricted,Weapon Attachment,Under-Barrel Grapnel Launcher,500,2,2,3,SM: 56
Attachments,Nonrestricted,Weapon Attachment,Weapon Harness,500,0,2,2,Aor-CRB: 205 // EotEotE-CRB: 193
Attachments,Nonrestricted,Weapon Attachment,Overcharged Actuating Module,650,0,1,7,SM: 55
Attachments,Nonrestricted,Weapon Attachment,Integrated Scanner,675,0,2,5,SM: 54
Attachments,Restricted,Weapon Attachment,Blaster Energy Dampner,750,0,1,4,FaD-CRB: 194
Attachments,Restricted,Weapon Attachment,Blaster Suppressor,750,0,1,5,SoR: 110 // LoNH: 106
Attachments,Nonrestricted,Weapon Attachment,Rapid-Recharge XCiter,750,0,1,7,SM: 55
Attachments,Restricted,Weapon Attachment,Underslung Scattergun,750,0,3,5,FC: 51
Attachments,Nonrestricted,Weapon Attachment,Shield Discharge Pack,800,1,1,5,KtP: 54
Attachments,Restricted,Weapon Attachment,Force-Attuned Resonator,1000,0,2,8,KtP: 54
Attachments,Nonrestricted,Weapon Attachment,Gyrostabilizer,1000,0,2,6,SM: 54
Attachments,Nonrestricted,Weapon Attachment,Mono-Molecular Edge,1000,0,1,5,Aor-CRB: 202 // EotEotE-CRB: 190 // FaD-CRB: 194
Attachments,Nonrestricted,Weapon Attachment,Weapon Signature Reduction,1000,0,1,6,SoR: 110
Attachments,Nonrestricted,Weapon Attachment,Marksman Barrel,1200,0,2,4,Aor-CRB: 202 // EotEotE-CRB: 190
Attachments,Nonrestricted,Weapon Attachment,Balanced Hilt,1500,0,2,5,Aor-CRB: 200 // EotEotE-CRB: 188
Attachments,Restricted,Weapon Attachment,Enhanced XCiter,1500,0,2,6,SM: 54
Attachments,Restricted,Weapon Attachment,Overcharge Valve,1500,0,2,6,FC: 51
Attachments,Restricted,Weapon Attachment,Shadowsheath,1500,0,1,5,FaD-CRB: 194
Attachments,Nonrestricted,Weapon Attachment,Sonic Scope,1500,0,1,8,SM: 56
Attachments,Nonrestricted,Weapon Attachment,Spread Barrel,1725,0,2,4,Aor-CRB: 203 // EotEotE-CRB: 191
Attachments,Nonrestricted,Weapon Attachment,Augmented Spin Barrel,1750,0,2,4,Aor-CRB: 200 // EotEotE-CRB: 188
Attachments,Nonrestricted,Weapon Attachment,Multi-Optic Sight,2000,0,1,3,Aor-CRB: 202 // EotEotE-CRB: 191
Attachments,Restricted,Weapon Attachment,Under-Barrel Grenade Launcher,2000,0,2,5,Aor-CRB: 205 // EotEotE-CRB: 191
Attachments,Nonrestricted,Weapon Attachment,"Sorosuub ""Final Word"" Secondary Missile System",3000,3,3,6,DC: 52
Attachments,Restricted,Weapon Attachment,Under-Barrel Flame Projector,3000,0,2,5,Aor-CRB: 204 // EotEotE-CRB: 192
Attachments,Nonrestricted,Weapon Attachment,Superior Weapon Customization,5000,0,1,6,Aor-CRB: 203 // EotEotE-CRB: 191 // FaD-CRB: 194
